bookname,isbn,binding,publicationdate,publisher,language,price,photo,DisplayContent,page,author
 The Original Mr. Met Remembers: When the Miracle Began ,9780595700820,Hardcover,11/09/2007,iUniverse,English,"

$27.50",https://covers.powells.com/9780595700820.jpg,"Synopses & ReviewsPublisher CommentsIn 1964, Dan Reilly landed the dream job of every New York Mets fan. Pulled from his humble position in Shea Stadium's ticket office to become the Mets' mascot-and Major League Baseball's first official mascot-Reilly donned the baseball-shaped, papier-m ch head of Mr. Met and began a career rubbing elbows with some of the game's most illustrious players. The Original Mr. Met Remembers is packed with never-before-told anecdotes, detailed team history, and intimate glimpses of players on and off the field. With a cast of characters that include the inimitable Casey Stengel, the bumbling Marv Throneberry, and Hall of Famer Richie Ashburn, Reilly delivers a rollicking ride from the Mets' celebrated first season in 1962 to their unexpected and thrilling 1969 World Series victory. A must-read for baseball fans and sports historians alike, The Original Mr. Met Remembers recalls America's favorite pastime in all its glory, and is a devoted fan's personal tribute to one of New York's most celebrated teams.",140,Dan Reilly
 How to Be a Rock Star's Ex-Girlfriend ,9780595703210,Hardcover,10/24/2007,iUniverse,English,"

$27.50",https://covers.powells.com/9780595703210.jpg,"Synopses & ReviewsSynopsisTwenty-one-year-old Ava Sonders is independent and slightly cynical, and she has never been in love. She doesn't know if she believes in the concept of a soul mate, let alone the ""until death do you part"" stuff! But no one is more surprised than Ava when she becomes attracted to bad boy and struggling musician Braden O'Neil. After one romantic evening, Braden steals Ava's heart. Mortified when her behavior is reduced to that of a smitten sixteen-year-old girl, Ava is further distressed when she begins to fantasize about spending the rest of her life with him in the happily-ever-after sense. Unfortunately, Braden focuses on his career instead of his girlfriend, making music his mistress. The relationship gets out of control when Braden's band makes it to the big time, and Ava finds that their love life is splashed on the covers of all the tabloids. Now, Ava must figure out what she wants, leading her to discover that sometimes life has a different plan than what one expects.   
",184,Kelly J. Hurley
 A Story Book for Beginning Readers ,9780595705016,Hardcover,10/16/2007,iUniverse,English,"

$23.95",https://covers.powells.com/9780595705016.jpg,"Synopses & ReviewsPublisher CommentsDraw your child into the world of reading with this endearing collection of thirty-one original and imaginative stories. A Story Book For Beginning Readers will engage, entertain, and encourage both new and struggling readers. Offering timeless lessons about friendship, kindness, home, and family, Connie Silver's fanciful tales include: how twin piglets Twiddle and Twaddle got their names; a little striped pony who realized he wasn't a horse after all; Peyton the alligator with a too-big mouth; the day it rained chocolate in candy-covered Fudgeville; the mystery of the bottomless pond; and much more. Silver's tales start simple and get progressively more challenging to reflect and enhance your child's budding reading skills, vocabulary, and comprehension. Parents and teachers will appreciate the helpful word-review list preceding each story. With popsicles that talk, cats with secrets, and children who want to be all grown up, this storybook serves as both read-aloud fun and an invaluable learning tool, and it's sure to become a favorite on your child's shelf.",124,Connie Silver
 Epiphany ,9780595705252,Hardcover,11/08/2007,iUniverse,English,"

$27.95",https://covers.powells.com/9780595705252.jpg,"Synopses & ReviewsPublisher CommentsWhen NASA detects huge asteroids hurtling toward Earth, the President of the United States announces his plan to deploy nuclear warheads from the space shuttle to destroy them. As the West Coast evacuates, General Jack Harrison, a man haunted by nightmares from a long ago war, is chosen to implement a controversial and top-secret backup plan should the shuttle mission fail. Against a clock that seems to be ticking far too fast, Jack, two long-time comrades, and a disparate group of men and women little different from any of us feverishly work to turn a Cold War museum into an operational missile site. Their bold attempt to blend new and old technologies to thwart the unthinkable leaves them questioning whether their mission is as futile as it is daring. The only thing of which they are certain is that if they fail, they die. This intricately woven story about the meeting of technology and faith challenges beliefs and serves as warning to us all of a natural disaster that is not only possible, but probable-and for which the world is still defenseless.",288,Gary Stephens
 What Comes of Dreams ,9780595706594,Hardcover,11/30/2007,iUniverse,English,"

$31.95",https://covers.powells.com/9780595706594.jpg,"Synopses & ReviewsPublisher CommentsBy anyone's estimation, Samantha Smith leads a charmed life. Raised on the beautiful island of Maui by her devoted parents, Samantha is a stunning, bright, and joyful young woman and a successful manager at the prestigious Ritz Carlton. When sudden tragedy jolts her idyllic world and lays bare startling secrets about Samantha's past, she is tortured by the unknown and filled with questions she never before knew to ask. After the violent deaths of her parents, Samantha decides to leave her island paradise home in search of the one person who may have answers. From the heights of a penthouse overlooking Central Park to the depths of New York City's underworld, Samantha faces situations for which Maui never prepared her and a powerful journey of self-discovery that she never anticipated. A combination of fearlessness and navet drives Samantha to unravel the mystery of her family, her life, and her fate. Filled with covert spying, secret Bible codes, and thrilling dreamscapes, What Comes of Dreams is author Donald Penn Bryant's multilayered and compelling take on where one finds true comfort, safety, and home.",228,Donald Penn Bryant
" One Hot Mamma!: A Mom's Guide to Sex, Love, and Romance ",9780595709038,Hardcover,02/25/2008,iUniverse,English,"

$26.50",https://covers.powells.com/9780595709038.jpg,"Synopses & ReviewsPublisher CommentsIf you think that just because you're a mother you don't have time for love, sex, and romance anymore, think again  It's true that household chores, in-home and outside-the-home work responsibilities, and family pressures often combine to leave mothers tired, cranky, and downright uninterested in anything romantic. But finding time to indulge in shared moments with your significant other is paramount to a mom's happiness and fulfillment. One Hot Mamma  is your perfect, all-in-one source for learning how to focus attention on your loved one. Divided into three sections-love, romance, and sex-One Hot Mamma  provides a range of ideas to help you put the spark back in your relationship. By drawing on the experiences of busy mothers everywhere, Ann Kluth and Marie Aumann show you how to: Honor your relationship Celebrate your commitment to each other Demonstrate your appreciation for your mate Create time for togetherness Enhance your sex life and keep lovemaking satisfying This invaluable relationship guide can be used to inspire new ideas in the moment or as a daily or weekly reminder to put yourself on your list of priorities. Reclaim your romantic life and be known as One Hot Mamma",112,Ann Kluth
 My Motion Offense at 16 ,9780595711987,Hardcover,03/27/2008,iUniverse,English,"

$27.50",https://covers.powells.com/9780595711987.jpg,"Synopses & ReviewsPublisher CommentsAn innovative and diverse football playbook can be the difference between winning and losing. In today's game, fresh and unpredictable plays are crucial, so it's vital to pick your plays from a wide and creative arsenal. Sixteen-year-old Warren Erdmann provides just that for coaches everywhere. In My Motion Offense at 16, Erdmann has compiled an original array of offensive plays based on a philosophy of spreading out the defense, using the entire field, keeping the play-calling simple, making the defense adjust to the offense, and using the team's strengths to exploit the opponents' weaknesses. In explaining and diagramming each play, Erdmann clearly illustrates how to maximize the talent on the field and breaks down how a play capitalizes on the strengths of the offense and the weaknesses of the defense. In most of his plays, Erdmann emphasizes that seconds count, communication matters, and carefully orchestrating the eleven players on offense is critical to maximizing their talent and ultimately putting points on the scoreboard. This ambitious book constructively uses terminology and diagrams to describe each play and its execution for coaches, players, and devoted fans. You will be impressed that a high school junior has devised so many interesting plays and has organized them so well to make your team successful on the football field.",132,"Warren W., IV Erdmann"
 Hunting with Tigers ,9780595712137,Hardcover,01/07/2008,iUniverse,English,"

$33.95",https://covers.powells.com/9780595712137.jpg,"Synopses & ReviewsPublisher CommentsDuring the Vietnamese War, a Washington-approved sanctuary for enemy troops in Laos and Cambodia is a recipe for disaster, but a covert CIA operation made up of Special Forces volunteers deemed expendable, penetrates the borders and neutralizes the enemy's advantage. The Green Berets, Rick Barinelli, Warren Fahey, and Bob Akamura, make a pact: If any one of them goes missing, the others will commit to, rescue, ransom, or revenge. Barinelli, conflicted with a growing passion for a beautiful Vietnamese woman, Ai Dao, gains distinction for intel successes that disrupt the Tet Offensive and becomes known to the enemy as the Gray Ghost. Hanoi orders General Wong to capture or kill him regardless of cost, and the brilliant and sadistic Wong spins an elaborate trap. He orchestrates the kidnapping of Ai Dao, but captures the headstrong Akamura instead. Now, against harrowing odds, it's up to Barinelli and Fahey to attempt their rescue. Racing to a shattering climax, Hunting With Tigers illustrates how ordinary men can rise to acts of selfless heroism within the savagery of war.",332,Eugene Basilici
" Extra Dry, with a Twist: An Insider's Guide to Bartending ",9780595712847,Hardcover,12/27/2007,iUniverse,English,"

$26.50",https://covers.powells.com/9780595712847.jpg,"Synopses & ReviewsPublisher CommentsWith twenty years of experience behind the bar, Shaun P. Daugherty knows what it takes to stand out in the bartending profession. With his expert advice and insider tips, you will easily make the shift from a person who mixes drinks to a true bartender. Bartending as a profession is much more than knowing what types of liquor go into a particular drink. In this must-have manual, Daugherty outlines the real fundamentals of bartending: the basic principles of bartending, rules to follow that will make you a great bartender, actions to avoid, and some of the personality types you'll meet on the other side of the bar. He also shares personal anecdotes and secrets for making more money and landing the best jobs in the business. Entertaining, insightful, and ultimately practical, Extra Dry, with a Twist is valuable for anyone who works with the public. After all, bartending is about mastering the art of people, and honing the essential skills-including professionalism, customer service, responsibility, and discipline-that win you a loyal clientele. With Daugherty's guidance and expertise, you will be equipped with everything you need to make bartending a genuinely rewarding occupation anywhere in the world.",124,Shaun P. Daugherty
 The Temple President ,9780595714032,Hardcover,09/23/2008,iUniverse,English,"

$20.95",https://covers.powells.com/9780595714032.jpg,"Synopses & ReviewsSynopsisWhen a new president assumes the leadership of a Jewish temple, he is well aware of the many challenges that he will face. However, he didn't know that during his term of office a dispute between the rabbi and the temple's major financial contributor would develop and threaten the very life of the temple. And while this may be the most obvious problem, there are others also: leaking roofs, local anti-Semitism and a congregation divided among those who are over zealous and those who simply don't care. The president seeks to deal with all these issues while struggling with his own problems and personal conflicts. While keeping a sense of humor, he goes about the business of handling all the challenges and personalities that confront him. Yet, he is not immune to self doubt and at times wonders if God really cares about his little temple. The Temple President blends a healthy dose of laughter with the serious questions about the nature of God, anti-Semitism, and religious traditions.   
",120,Malcolm Lindy
