bookname,isbn,binding,publicationdate,publisher,language,price,photo,DisplayContent,page,author
 Scout Squad: Going Native ,9780595716579,Hardcover,01/26/2009,iUniverse,English,"

$37.50",https://covers.powells.com/9780595716579.jpg,"Synopses & ReviewsSynopsisWilly was born with a genetic mutation that altered his features, making him look more like a beast than human. His twin sister, Sydni, did not have the same mutation. He spent his life on the outside of society, never quite fitting in. He was drawn to the mountains behind his home and spent much of his time out in the woods. When he learned about Scouts in the UWC military, he had a goal. He wanted to be the best and trained to that goal. Their latest mission takes them to the edge of the known universe and a corrupt ambassador and politician are trying to move into a territory of a race Willy had just made contact with. As Willy learns he is not alone in the world with his genetic mutation, he is forced to move planetside facing treason charges after learning the plans of the ambassador and politician. Under the threat of a looming war, Willy and Syndi try to save a race of people where Willy can finally call home.SynopsisAfter being born genetically altered, Willy spent his whole life on the outside of society, working harder to be the best scout in the United World Councils military. While deployed to scout a new world, he and his twin sister, Sydni, encounter humans with the same genetic alteration as Willy; they discover a plot by unscrupulous politicians to have them removed from their homeland. Willy and Sydni will stop at nothing to ensure their safety.   
",412,Mark O. Chapman
 An Abundance of Blessings ,9780595719730,Hardcover,03/06/2008,iUniverse,English,"

$26.95",https://covers.powells.com/9780595719730.jpg,"Synopses & ReviewsSynopsisToward the end of the Second World War the Russian and German armies met in a fierce struggle that pushed the front line across the Baltic States. Many people fled the fighting including a Latvian University professor and his family. With a few mementos and the clothes on their backs they traveled to Berlin. They reassured themselves that the fighting would be over in a few months and they would return to their small country by the amber sea. Although they lost a great deal-this story has more to do with what they found. In Berlin during heavy allied bombing, in displaced persons camps in Germany and their early years in South Dakota the kindness of strangers seemed heaven sent. In their most fearful hours when life itself was in the balance hands reached out to help them. In ways large and small their blessings accumulated and gave them hope.",184,Ina Pogainis
 I Found Comfort in the Storm ,9780595741717,Hardcover,12/02/2002,iUniverse,English,"

$22.95",https://covers.powells.com/9780595741717.jpg,,112,Valerie Y. Keita
 A Girl Holding Lilacs ,9780595742851,Hardcover,11/18/2002,iUniverse,English,"

$33.95",https://covers.powells.com/9780595742851.jpg,,388,Ed Ifkovic
 Sea Legs ,9780595744558,Hardcover,11/28/2000,iUniverse,English,"

$32.95",https://covers.powells.com/9780595744558.jpg,,384,Paul Gillcrist
 The Nascence of American Literature ,9780595744749,Hardcover,10/30/2002,iUniverse,English,"

$41.95",https://covers.powells.com/9780595744749.jpg,,440,Darrel Abel
 April's Trust ,9780595745234,Hardcover,04/16/2002,iUniverse,English,"

$27.50",https://covers.powells.com/9780595745234.jpg,,164,Amy Rowen
 A Golf Journey: Golf Was My God ,9780595747436,Hardcover,05/12/2003,iUniverse,English,"

$31.95",https://covers.powells.com/9780595747436.jpg,"Synopses & ReviewsSynopsisUntil the ""Arnold Palmer Era of Golf,"" the Game of Golf was played by the affluent and often called ""a rich man's game."" So it was in the decades of the 1930's through the 1950's that golf's popularity rose to the point where scores of golf courses were being built annually. Almost anyone could afford to play golf on some type of golf course. From a depression era background Gene Burress rose to one of the top Golf Administrators and voices in the golf industry. Outspoken and controversial, his insight to public golf vs. the private sector and other aspects in the industry was to be heard. Golf became his god, affecting marriages and many relationships until he accepted Jesus Christ as his Lord. There are many valley circumstances along with mountaintops. It is a unique worldwide golf journey playing golf in over 22 countries, 38 States and almost 600 golf courses documented in the last chapter.",216,Gene Burress
" The Charles E. Roseberry-Betty Jean Keister Family of Montgomery and Pulaski Counties, Virginia ",9780595747740,Hardcover,06/24/2002,iUniverse,English,"

$50.95",https://covers.powells.com/9780595747740.jpg,,648,Greg Roseberry
 The Trouble with Tomatoes ,9780595747764,Hardcover,07/09/2003,iUniverse,English,"

$22.95",https://covers.powells.com/9780595747764.jpg,"Synopses & ReviewsSynopsisFrom the instant he arrives at his grandfather's house in Oelwein, Iowa, David fears the drought-stricken summer signals a bad omen for his yearly visit. His parents, who are back in Chicago, are experiencing serious marital problems, for which David feels partly responsible. Miss Holcomb, Grandpa's neighbor, always competes against David and his grandfather at the county fair. She always wins the blue ribbon for the best tomatoes. David and his friend, Katie, find out that Miss Holcomb has been spreading lies about Grandfather. They set up a plan to retaliate. Armed with their knowledge and a gunnysack of red balloons, they plan and execute an attack, aimed at teaching Miss Holcomb a lesson. Young friends of David's help him create a newspaper called Kids' Register. The story continues as a large group of children go to the Fayette County Fair where the winner of the tomato contest is divulged. The end is a bittersweet moment when David and the archenemy, Miss Holcomb, discuss why marriages fail.",112,Daniel Levine Hedlund
" Crime, Passion & Conscience ",9780595747849,Hardcover,10/26/2003,iUniverse,English,"

$30.95",https://covers.powells.com/9780595747849.jpg,"Synopses & ReviewsPublisher Comments""This writing is a wonderful effort to produce a book that: "" Reeks with authenticityChallenges the reader to predict outcomes. Both immediate and eventual.Intertwines a moral thread throughout with the final climax.Educates historically to the current reality. Brings to the reader a colorful caste of characters.Calls attention to the bias in the hierarchy of law enforcement agencies. Points to the ethnic predominance of cops and crooks. Infuses the reader with the impression that male chauvinism predominates law enforcement. Portrays ""cops"" motivation being emotional as well as moral.Asks the question, ""does might make right?""""Boston Police Detective Sergeant Stuart Parnell McKeady was not fully aware of the moral debt he was incurring as he slipped progressively deeper into graft and corruption - but that debt would quickly come due.""--William ""Bill"" Arbuckle ""Former California lawman and reviewer of books pertaining to crime cases."" ""The book ""The Great Brink's Holdup"" I co-authored with Sid Feder (Murder, Inc.) was factual. ""Crime, Passion & Conscience"" is factualized fiction. In my ten years on the force, I witnessed inefficiency and outright dishonesty from the top down. This fictional account shows how temptations can overwhelm conscience in a very difficult job. I am proud of the honest majority of police and of the Boston Police Medal of Honor bestowed on me."" --Edward Anthony Gibbons
",372,Edward Anthony Gibbons
 Tribal Echoes and Whispered Love ,9780595749065,Hardcover,08/03/2003,iUniverse,English,"

$27.50",https://covers.powells.com/9780595749065.jpg,"Synopses & ReviewsSynopsisWhispers of love, the poems in this section, express tender, caring, true unconditional love as well as dreams of the future and memories of the past. Feelings to share with the one you love, trying to put into words emotions when no words are needed. Miscellaneous poems are just that, most were written to or using names from an Internet chat room. Many I first met online are now close personal friends.",140,Pattye (Echo) Thomas
